chrom	tc_percentile_start	tc_percentile_stop	tc_percentile_name	tc_percentile_tag_count_tpm	strand	tc_percentile_representative_start	tc_percentile_representative_stop	tc_percentile_representative_score
chr10	689632	689720	chr10_tc_415	4.75738241683352	-	689644	689645	0.59467280210419
chr10	812538	812541	chr10_tc_469	1.04067740368233	-	812539	812540	0.446004601578143
chr10	931687	931714	chr10_tc_576	6.69006902367214	-	931699	931700	1.18934560420838
chr10	1048888	1048945	chr10_tc_643	3.71670501315119	-	1048925	1048926	0.446004601578143
chr10	1056680	1056744	chr10_tc_651	1.33801380473443	-	1056703	1056704	0.297336401052095
chr10	1240421	1240515	chr10_tc_762	1.33801380473443	-	1240444	1240445	0.297336401052095
chr10	2628116	2628251	chr10_tc_1737	3.71670501315119	-	2628116	2628117	0.297336401052095
chr10	3172777	3172795	chr10_tc_2132	10.4067740368233	-	3172781	3172782	4.16270961472933
chr10	3779243	3779451	chr10_tc_2556	2.37869120841676	-	3779294	3779295	0.446004601578143
chr10	3781985	3782219	chr10_tc_2563	1.93268660683862	-	3781985	3781986	0.148668200526048
chr10	3785191	3785229	chr10_tc_2571	23.7869120841676	-	3785208	3785209	9.366096633141
chr10	4243688	4243766	chr10_tc_2922	1.18934560420838	-	4243746	4243747	0.297336401052095
chr10	5003855	5003861	chr10_tc_3458	18.4348568652299	-	5003856	5003857	6.98740542472424
chr10	5666574	5666596	chr10_tc_3906	1.33801380473443	-	5666580	5666581	0.297336401052095
chr10	5813373	5813435	chr10_tc_4010	51.4391973820125	-	5813429	5813430	10.2581058362973
chr10	5889838	5889925	chr10_tc_4042	1.33801380473443	-	5889838	5889839	0.148668200526048
chr10	5977457	5977544	chr10_tc_4097	2.08135480736467	-	5977521	5977522	0.297336401052095
chr10	6062305	6062369	chr10_tc_4160	4.60871421630747	-	6062308	6062309	0.892009203156285
chr10	7411004	7411038	chr10_tc_5241	1.48668200526048	-	7411016	7411017	0.297336401052095
chr10	7666935	7666971	chr10_tc_5426	8.62275563051076	-	7666963	7666964	1.33801380473443
chr10	7787985	7787995	chr10_tc_5515	2.97336401052095	-	7787991	7787992	0.892009203156285
chr10	10794917	10794979	chr10_tc_7801	6.09539622156795	-	10794928	10794929	1.33801380473443
chr10	11611564	11611644	chr10_tc_8483	1.78401840631257	-	11611564	11611565	0.148668200526048
chr10	12035277	12035428	chr10_tc_8725	4.75738241683352	-	12035312	12035313	0.743341002630238
chr10	12042777	12042822	chr10_tc_8729	2.67602760946886	-	12042808	12042809	0.59467280210419
chr10	12195829	12195893	chr10_tc_8790	13.5288062478703	-	12195852	12195853	1.04067740368233
chr10	13001711	13001717	chr10_tc_9236	5.9467280210419	-	13001712	13001713	4.01404141420328
chr10	13300058	13300064	chr10_tc_9407	4.46004601578143	-	13300059	13300060	1.04067740368233
chr10	13707551	13707568	chr10_tc_9717	1.63535020578652	-	13707551	13707552	0.297336401052095
chr10	13754991	13755023	chr10_tc_9768	1.78401840631257	-	13754994	13754995	0.297336401052095
chr10	13778644	13778760	chr10_tc_9797	1.18934560420838	-	13778705	13778706	0.297336401052095
chr10	13890670	13890812	chr10_tc_9923	2.67602760946886	-	13890808	13890809	0.446004601578143
chr10	13891681	13891746	chr10_tc_9928	5.20338701841166	-	13891710	13891711	0.59467280210419
chr10	13891945	13892012	chr10_tc_9930	2.08135480736467	-	13891947	13891948	0.297336401052095
chr10	13975417	13975696	chr10_tc_9992	2.37869120841676	-	13975417	13975418	0.148668200526048
chr10	14008172	14008294	chr10_tc_10027	1.78401840631257	-	14008172	14008173	0.148668200526048
chr10	14008427	14008462	chr10_tc_10028	1.48668200526048	-	14008433	14008434	0.297336401052095
chr10	14604398	14604406	chr10_tc_10523	11.8934560420838	-	14604400	14604401	4.75738241683352
chr10	14878602	14878668	chr10_tc_10710	1.33801380473443	-	14878602	14878603	0.148668200526048
chr10	14953997	14954098	chr10_tc_10760	2.08135480736467	-	14954064	14954065	0.297336401052095
chr10	15168622	15168693	chr10_tc_10866	5.79805982051586	-	15168633	15168634	0.59467280210419
chr10	15444459	15444490	chr10_tc_11024	4.31137781525538	-	15444464	15444465	0.446004601578143
chr10	15719895	15719922	chr10_tc_11239	1.48668200526048	-	15719908	15719909	0.297336401052095
chr10	15860462	15860511	chr10_tc_11371	4.60871421630747	-	15860506	15860507	0.59467280210419
chr10	15894120	15894161	chr10_tc_11399	1.04067740368233	-	15894120	15894121	0.148668200526048
chr10	16817384	16817454	chr10_tc_12086	15.758829255761	-	16817418	16817419	1.18934560420838
chr10	17201639	17201704	chr10_tc_12431	1.48668200526048	-	17201666	17201667	0.297336401052095
chr10	17229467	17229586	chr10_tc_12451	1.18934560420838	-	17229467	17229468	0.148668200526048
chr10	17229765	17229948	chr10_tc_12452	3.71670501315119	-	17229836	17229837	0.446004601578143
chr10	17233796	17233922	chr10_tc_12456	1.18934560420838	-	17233796	17233797	0.148668200526048
chr10	17234733	17234823	chr10_tc_12458	1.93268660683862	-	17234822	17234823	0.297336401052095
chr10	17235212	17235367	chr10_tc_12459	2.67602760946886	-	17235280	17235281	0.297336401052095
chr10	17617345	17617376	chr10_tc_12717	1.63535020578652	-	17617373	17617374	0.59467280210419
chr10	17912731	17912772	chr10_tc_12895	2.8246958099949	-	17912742	17912743	0.446004601578143
chr10	18651556	18651659	chr10_tc_13360	1.48668200526048	-	18651583	18651584	0.297336401052095
chr10	18659235	18659302	chr10_tc_13365	1.63535020578652	-	18659255	18659256	0.297336401052095
chr10	19161722	19161747	chr10_tc_13679	1.63535020578652	-	19161744	19161745	0.297336401052095
chr10	19306113	19306150	chr10_tc_13746	1.93268660683862	-	19306113	19306114	0.148668200526048
chr10	19411340	19411381	chr10_tc_13821	1.18934560420838	-	19411342	19411343	0.297336401052095
chr10	20107104	20107173	chr10_tc_14300	1.33801380473443	-	20107104	20107105	0.148668200526048
chr10	20822559	20822701	chr10_tc_14828	1.48668200526048	-	20822559	20822560	0.148668200526048
chr10	22003701	22003736	chr10_tc_15627	12.0421242426099	-	22003729	22003730	2.37869120841676
chr10	22536712	22536716	chr10_tc_15969	2.8246958099949	-	22536712	22536713	1.63535020578652
chr10	22714526	22714621	chr10_tc_16212	8.77142383103681	-	22714540	22714541	0.892009203156285
chr10	22994848	22994912	chr10_tc_16426	1.04067740368233	-	22994848	22994849	0.148668200526048
chr10	24723877	24723918	chr10_tc_17699	7.73074642735447	-	24723880	24723881	1.63535020578652
chr10	24952580	24952606	chr10_tc_17836	2.37869120841676	-	24952600	24952601	0.446004601578143
chr10	25688618	25688731	chr10_tc_18292	1.33801380473443	-	25688618	25688619	0.148668200526048
chr10	25688783	25688875	chr10_tc_18293	1.04067740368233	-	25688783	25688784	0.148668200526048
chr10	26257667	26257692	chr10_tc_18673	1.48668200526048	-	26257667	26257668	0.297336401052095
chr10	26860895	26860958	chr10_tc_19086	14.8668200526048	-	26860950	26860951	1.33801380473443
